Frame,X pixels,Y pixels,,,Frame,X pixels,Y pixels,,offx,offy,len,Bank Angle,,Cue Angle
357,767.766,413.812,,,357,1142.85,412.773,,375.084,-1.039,375.085439,-0.158711549,-0.002770036,44.47284264
358,767.707,413.812,,,358,1142.78,412.738,,375.073,-1.074,375.0745377,-0.164062726,-0.002863431,44.52385958
359,767.688,414.262,,,359,1142.8,412.656,,375.112,-1.606,375.1154379,-0.245303962,-0.004281349,44.53307651
360,767.574,414.324,,,360,1142.8,412.707,,375.226,-1.617,375.2294841,-0.246909068,-0.004309363,44.56234066
361,767.75,414.5,,,361,1142.89,412.52,,375.14,-1.98,375.1452252,-0.302406008,-0.005277956,44.72374815
362,767.598,414.477,,,362,1142.91,412.496,,375.312,-1.981,375.3172281,-0.30242008,-0.005278202,44.73938439
363,767.77,414.871,,,363,1142.99,411.77,,375.22,-3.101,375.2328139,-0.473509321,-0.008264203,44.71846538
364,767.891,415.23,,,364,1142.95,411.426,,375.059,-3.804,375.0782904,-0.581097033,-0.010141883,44.72190379
365,767.863,415.262,,,365,1142.93,411.438,,375.067,-3.824,375.0864933,-0.584139553,-0.010194982,44.72526231
366,767.746,415.266,,,366,1142.78,411.34,,375.034,-3.926,375.0545489,-0.599772325,-0.010467811,44.70394604
367,767.75,415.473,,,367,1142.96,411.125,,375.21,-4.348,375.2351919,-0.663923933,-0.011587399,44.68606812
368,767.75,415.465,,,368,1142.83,411.25,,375.08,-4.215,375.1036825,-0.643840102,-0.011236893,44.68483435
369,768.312,415.449,,,369,1142.87,410.801,,374.558,-4.648,374.5868381,-0.710963628,-0.012408338,44.89279348
370,768.18,415.715,,,370,1143.14,410.551,,374.96,-5.164,374.995558,-0.789035367,-0.01377083,44.92451102
371,768.035,416.316,,,371,1143.33,410.484,,375.295,-5.832,375.3403112,-0.890291884,-0.015537899,44.90924978
372,767.922,416.621,,,372,1143.19,410.699,,375.268,-5.922,375.3147238,-0.904093727,-0.015778757,44.92474079
373,767.891,416.629,,,373,1143.24,410.52,,375.349,-6.109,375.3987103,-0.932436256,-0.016273364,44.97128532
374,767.844,416.703,,,374,1142.93,410.496,,375.086,-6.207,375.1373538,-0.948055769,-0.01654594,44.89974168
375,768,416.668,,,375,1142.76,410.422,,374.76,-6.246,374.8120464,-0.954841254,-0.016664352,44.89960606
376,767.93,416.664,,,376,1142.87,410.395,,374.94,-6.269,374.9924052,-0.957896666,-0.016717672,44.79488707
377,767.863,417.398,,,377,1143.08,410.352,,375.217,-7.046,375.2831507,-1.075800455,-0.018775157,44.73688985
378,767.891,418.074,,,378,1143.09,409.797,,375.199,-8.277,375.2902854,-1.263756725,-0.022054927,44.71391717
379,767.91,418.117,,,379,1142.88,409.824,,374.97,-8.293,375.0616946,-1.266971892,-0.022111029,44.93380859
380,767.945,418.402,,,380,1143.17,409.723,,375.225,-8.679,375.3253597,-1.325022103,-0.023123937,44.91834748
381,768.062,418.637,,,381,1142.88,409.273,,374.818,-9.364,374.9349512,-1.431110834,-0.024974999,44.94413034
382,768.051,418.633,,,382,1142.88,409.297,,374.829,-9.336,374.9452495,-1.426791478,-0.024899635,44.9173142
383,768.172,418.629,,,383,1142.86,409.32,,374.688,-9.309,374.8036217,-1.423201999,-0.024837007,44.90148908
384,768,418.652,,,384,1142.86,408.629,,374.86,-10.023,374.9939735,-1.531608609,-0.02672843,44.93186977
385,767.902,419.297,,,385,1142.78,408.676,,374.878,-10.621,375.0284263,-1.622863248,-0.02832052,44.91878257
386,767.867,419.426,,,386,1142.73,408.43,,374.863,-10.996,375.0242403,-1.680197256,-0.029320771,44.93765424
387,767.77,419.43,,,387,1142.75,408.441,,374.98,-10.989,375.1409849,-1.678604647,-0.029292987,45.01578989
388,767.965,419.457,,,388,1142.86,408.422,,374.895,-11.035,375.0573719,-1.686009209,-0.029422165,45.16160186
389,767.922,419.5,,,389,1142.75,408.273,,374.828,-11.227,374.9961001,-1.715633448,-0.029938978,45.18207798
390,767.82,419.516,,,390,1143.12,408.266,,375.3,-11.25,375.4685772,-1.716985237,-0.029962561,45.16843826
391,767.848,419.887,,,391,1142.83,408.219,,374.982,-11.668,375.1634878,-1.782249604,-0.031101108,45.1480293
392,767.836,419.844,,,392,1142.81,408.152,,374.974,-11.692,375.1562388,-1.785951233,-0.031165682,45.17424214
393,767.824,419.852,,,393,1142.82,408.152,,374.996,-11.7,375.1784775,-1.787067659,-0.031185158,45.1763112
394,767.684,420.188,,,394,1142.9,408.121,,375.216,-12.067,375.4099881,-1.842005558,-0.032143524,45.13438833
395,767.5,420.191,,,395,1142.79,407.902,,375.29,-12.289,375.4911499,-1.875499839,-0.032727802,45.14370175
396,767.695,420.164,,,396,1143.14,408.113,,375.445,-12.051,375.6383562,-1.838443607,-0.032081388,45.17313377
397,767.73,420.418,,,397,1143.19,407.688,,375.46,-12.73,375.6757438,-1.941873916,-0.033885605,45.34905198
398,767.797,420.43,,,398,1142.74,407.551,,374.943,-12.879,375.1641266,-1.967291925,-0.034328975,45.33676463
399,767.809,420.441,,,399,1142.8,407.598,,374.991,-12.843,375.2108644,-1.961546239,-0.034228753,45.33143365
400,767.871,420.512,,,400,1142.94,406.691,,375.069,-13.821,375.3235601,-2.110349925,-0.036824227,45.36638955
401,767.805,420.5,,,401,1143.07,406.652,,375.265,-13.848,375.520422,-2.113365478,-0.036876823,45.33254763
402,768.082,420.57,,,402,1143.1,406.594,,375.018,-13.976,375.2783352,-2.134285296,-0.037241692,45.36332021
403,767.953,420.598,,,403,1143.19,406.453,,375.237,-14.145,375.5035116,-2.158809619,-0.037669421,45.46268635
404,767.891,420.648,,,404,1142.75,406.469,,374.859,-14.179,375.1270637,-2.16617382,-0.037797859,45.57995846
405,767.902,420.645,,,405,1142.77,406.484,,374.868,-14.161,375.1353774,-2.163374622,-0.037749039,45.57996536
406,767.84,421.367,,,406,1142.82,406.473,,374.98,-14.894,375.2756742,-2.274561308,-0.039688157,45.55214617
407,767.977,421.375,,,407,1143.32,406.43,,375.343,-14.945,375.6404141,-2.280136676,-0.039785389,45.73608648
408,767.984,421.371,,,408,1142.86,406.32,,374.876,-15.051,375.1780217,-2.299149215,-0.040116955,45.74532835
409,767.848,421.375,,,409,1142.83,406.305,,374.982,-15.07,375.2846989,-2.301398438,-0.04015618,45.75979747
410,767.887,421.41,,,410,1142.75,406.309,,374.863,-15.101,375.1670414,-2.306858751,-0.040251404,45.73104447
411,767.902,421.434,,,411,1142.79,406.328,,374.888,-15.106,375.1922224,-2.307468014,-0.040262029,45.68078855
412,767.766,421.457,,,412,1142.82,406.238,,375.054,-15.219,375.3626525,-2.3236823,-0.04054479,45.92706044
413,767.836,421.492,,,413,1142.69,406.125,,374.854,-15.367,375.16885,-2.347504672,-0.040960224,45.93536592
414,767.645,421.5,,,414,1142.78,406.117,,375.135,-15.383,375.4502696,-2.348187849,-0.040972137,45.98040405
415,767.602,421.5,,,415,1143.16,406.09,,375.558,-15.41,375.8740207,-2.349658239,-0.040997779,45.9518033
416,767.863,421.488,,,416,1142.82,406.156,,374.957,-15.332,375.270332,-2.341521266,-0.040855881,45.94815296
417,768.273,421.5,,,417,1142.83,406.125,,374.557,-15.375,374.8724275,-2.350585708,-0.041013953,45.93822431
418,768.293,421.473,,,418,1143.32,406.176,,375.027,-15.297,375.3388455,-2.335746381,-0.040755174,45.87277851
419,768.184,421.5,,,419,1142.83,406.188,,374.646,-15.312,374.9587746,-2.340409282,-0.040836489,45.96286363
